year,month,decimal_year,average,deseasonalized,days,daily_std,monthly_unc,month_id,quality
2020,11,2020.875,413.1,415.11,27,0.81,0.3,24250,reported
2020,12,2020.9583,414.23,414.91,30,0.48,0.17,24251,reported
2021,1,2021.0417,415.49,415.23,29,0.44,0.16,24252,reported
2021,2,2021.125,416.72,415.8,28,1.02,0.37,24253,reported
2021,3,2021.2083,417.61,416.17,28,0.86,0.31,24254,reported
2021,4,2021.2917,419.01,416.59,24,1.12,0.44,24255,reported
2021,5,2021.375,419.09,415.88,28,0.9,0.32,24256,reported
2021,6,2021.4583,418.93,416.48,29,0.65,0.23,24257,reported
2021,7,2021.5417,416.9,416.48,31,0.71,0.24,24258,reported
2021,8,2021.625,414.42,416.27,25,0.74,0.28,24259,reported
2021,9,2021.7083,413.26,416.63,27,0.29,0.11,24260,reported
2021,10,2021.7917,413.9,417.14,29,0.35,0.12,24261,reported
2021,11,2021.875,414.97,416.92,30,0.36,0.13,24262,reported
2021,12,2021.9583,416.67,417.37,28,0.48,0.17,24263,reported
